Elevation_ft      Area_ac
491.17        0
494.46        0.2
497.74        0.84
501.02        3.58
504.3        7.99
507.58        12.52
510.86        22.2
514.14        36.27
517.42        54.45
520.7        72.03
523.98        90.22
527.26        107.17
530.54        121.4
533.83        142.16
537.11        164.53
540.39        182.63
543.67        198.72
546.95        216.29
550.23        235.54
553.51        262.16
556.79        288.61
560.07        311
563.35        335.99
566.63        362.33
569.91        386.33
573.2        410.52
576.48        436.32
579.76        465.9
583.04        496.82
586.32        533.04
589.6        533.04
592.88        533.04
