Elevation_ft      Area_ac
503.82          20.24
505.17          29.47
506.16          36.21
506.91          41.18
507.51          46.86
508.26          51.83
509.00          57.87
509.75          64.26
510.66          68.17
512.01          74.56
513.42          80.59
514.56          85.21
515.62          90.18
516.82          95.86
518.43          103.53
519.78          109.49
520.57          113.61
521.47          119.29
522.66          126.11
523.57          129.94
524.92          137.04
525.83          142.72
526.88          149.11
528.13          155.86
529.41          161.89
530.48          168.28
531.38          173.25
532.28          178.93
533.38          185.68
534.51          191.72
535.56          196.69
536.68          203.08
537.51          208.4
538.44          213.02
539.49          219.41
540.51          225.44
541.94          234.32
543.09          240.71
544.04          247.1
544.94          252.07
545.91          258.82
546.7          264.14
547.6          270.53
548.46          276.57
549.25          281.18
550.34          288.28
551.2          296.09
552.1          302.48
553.27          311.36
554.17          318.46
555.11          324.5
555.71          330.18
556.46          336.57
557.06          341.54
557.81          347.22
559.04          357.87
560.21          368.52
561.11          377.04
561.86          383.43
562.91          394.08
564.26          405.44
565.62          418.22
566.82          430.3
567.87          440.95
568.77          449.47
569.67          457.99
570.57          467.22
571.32          475.74
571.92          483.55
572.63          490.3
573.53          500.24
574.17          507.69
575.25          519.05
576.45          532.54
577.33          541.77
578.48          553.85
579.53          566.63
580.5          577.63
581.33          586.86
582.31          596.8
583.18          604.97
584.18          615.98
585.74          628.4
586.66          636.21
587.48          643.67
588.38          652.54
588.98          659.64
601.52          663.9
