Elevation_ft      Volume_AF
491.17        0
494.46        0.65
497.74        3.39
501.02        15.12
504.3        41.35
507.58        82.42
510.86        155.24
514.14        274.24
517.42        452.87
520.7        689.19
523.98        985.18
527.26        1336.79
530.54        1735.08
533.83        2201.48
537.11        2741.28
540.39        3340.45
543.67        3992.43
546.95        4702.04
550.23        5474.82
553.51        6334.92
556.79        7281.81
560.07        8302.16
563.35        9404.48
566.63        10593.21
569.91        11860.69
573.2        13207.55
576.48        14639.06
579.76        16167.6
583.04        17797.6
586.32        19546.42
589.6        21295.25
592.88        23044.08
594.03        23657.0
