Elevation_ft      Volume_AF
504.87          8.82
513.84          628.23
520.5          1157.65
526.43          1976.47
529.88          2470.59
532.28          2894.12
535.44          3529.41
538.52          4143.53
540.69          4588.23
544.91          5562.35
549.4          6705.88
551.49          7383.52
553.11          7849.41
554.8          8399.99
556.44          8929.41
557.79          9395.29
559.16          9882.35
560.51          10411.76
561.76          10835.29
563.02          11322.35
563.81          11682.34
565.62          12423.52
566.52          12776.46
568.17          13482.34
568.77          13799.99
570.12          14329.4
571.02          14752.93
572.37          15494.11
573.15          15864.69
573.72          16164.69
574.47          16482.34
575.33          16905.87
575.98          17223.52
576.73          17611.75
577.33          18035.28
578.03          18441.16
579.15          19076.46
580.03          19517.63
581.23          20188.22
582.28          20788.22
582.73          21105.87
583.48          21529.4
585.44          22694.1
586.34          23329.4
586.98          23689.4
587.69          24211.75
588.44          24635.28
589.04          25023.51
589.94          25552.92
590.84          26082.33
592.64          27035.28
593.39          27352.92
593.99          27705.86
594.74          28094.1
595.35          28517.63
596.1          28835.27
596.7          29188.22
597.45          29576.45
597.9          29929.39
598.8          30317.63
599.4          30670.57
600.15          31164.68
600.75          31517.63
601.33          31852.92
601.67          32091.15
