Date,Wind_msec,AirTemp_degF,AirTemp_degC,SolRad_Wm2,Tdew_degC,SolRad_gridmet_Wm2,Evap_AF,KES_CalcTotalInflow_AF,KES_Accretions_AF,KES_TotalRelease_af,KES_TotalRelease_cfs,KES_Storage_AF,KWK_WaterTemp_degF,KWK_WaterTemp_degC,SPP_Inflow_AF,SPP_InflowTemp_degF,Shasta_Tailwater_Temp_degF,SHA_Outflow_AF,KES_Stage_final_ft
12/31/1999,1.204736111,39.1169,3.953833333,43.16666667,2.326886722,72.1,1.983471074,9752.727273,-670.8016529,9917.355372,5000,20907,51.9875,11.10416667,910.4132231,47.80416667,52.7375,9512.727273,582.09
1/1/2000,1.204736111,39.1169,3.953833333,43.16666667,2.326886722,72.1,1.983471074,9752.727273,-670.8016529,9917.355372,5000,20740,51.9875,11.10416667,910.4132231,47.80416667,52.7375,9512.727273,582.09
1/2/2000,1.320555556,36.366,2.425555556,94.45833333,-0.155439151,49.5,0,10401.32231,257.338843,9982.809917,5033,21158,51.775,10.98611111,468.0991736,47.75,52.60833333,9675.371901,582.79
1/3/2000,1.117083333,40.967375,4.981875,87.79166667,1.172682941,86.3,1.983471074,9865.785124,-18.29752066,9917.355372,5000,21104,51.67083333,10.92824074,476.0330579,47.63333333,52.45,9407.603306,582.7
1/4/2000,1.092083333,40.569625,4.760902778,79.95833333,2.892771236,32.3,0,9822.14876,50.7768595,9917.355372,5000,21008,51.65,10.91666667,13.88429752,47.83333333,52.29166667,9756.694215,582.54
1/5/2000,4.592916667,40.966125,4.981180556,109,1.175554326,102.7,1.983471074,9582.14876,-116.677686,9538.512397,4809,21050,51.725,10.95833333,0,47.73333333,52.18333333,9699.173554,582.61
1/6/2000,1.883333333,41.549,5.305,51.58333333,2.591281647,76.1,3.966942149,9330.247934,169.1322314,9141.818182,4609,21235,51.525,10.84722222,0,47.85833333,51.95,9161.652893,582.92
1/7/2000,2.5075,41.549,5.305,98.79166667,2.591281647,99.1,1.983471074,8826.446281,-132.7355372,8925.619835,4500,21134,51.5125,10.84027778,0,47.9375,51.99068256,8959.338843,582.75
1/8/2000,0.502083333,41.549,5.305,90.70833333,2.591281647,81,1.983471074,8939.504132,-43.53719008,8925.619835,4500,21146,51.47083333,10.81712963,0,47.85,51.61283323,8983.140496,582.77
1/9/2000,0.792486111,41.981825,5.545458333,37.875,3.973991588,44,0,8687.603306,-70.40495868,8925.619835,4500,20907,51.44166667,10.80092593,0,47.67916667,51.60833333,8757.024793,582.37
1/10/2000,7.853229167,48.425875,9.125486111,52.33333333,7.640208992,35.7,0,9080.330579,107.3966942,8925.619835,4500,21062,51.3875,10.77083333,0,47.375,51.35416667,8973.22314,582.63
1/11/2000,7.585944444,49.387375,9.659652778,37.04166667,5.952160778,51.7,0,8925.619835,-156.6942149,8925.619835,4500,21062,51.35,10.75,541.4876033,47.4375,51.12083333,8540.826446,582.63
1/12/2000,1.11875,40.94525,4.969583333,52.79166667,1.876463752,77.1,0,7560.991736,55.47107438,8528.92562,4300,20094,50.94583333,10.52546296,420.4958678,47.325,51.025,7084.958678,580.99
1/13/2000,6.147361111,48.845125,9.358402778,73.45833333,6.574322336,47.3,0,8489.256198,-89.61157025,8171.900826,4120,20411,50.53333333,10.2962963,236.0330579,47.2875,51.0375,8342.479339,581.53
1/14/2000,5.869895833,53.2889375,11.8271875,33.91666667,8.647424345,45.6,0,8215.53719,-990.4049587,7933.884298,4000,20692,50.45833333,10.25462963,3828.099174,47.1,50.91289357,5377.190083,582.01
1/15/2000,2.676805556,49.558375,9.754652778,29.875,8.958009142,51.9,5.950413223,9108.099174,-274.3471074,7933.884298,4000,20616,49.69166667,9.828703704,4343.801653,47.10416667,50.84614567,3794.380165,581.88
1/16/2000,7.83625,49.338875,9.632708333,75.54166667,5.708885806,70.1,1.983471074,6597.024793,2675.07438,7914.049587,3990,20540,49,9.444444444,3927.272727,47.1,50.47668689,1237.68595,581.75
1/17/2000,0.8125,43.827125,6.570625,65.25,-0.015385206,48.1,0,7495.53719,-327.2727273,7975.53719,4021,20060,48.72083333,9.289351852,1664.132231,47.09166667,50.83943758,6158.677686,580.93
1/18/2000,1.226388889,50.077,10.04277778,43.625,-0.85342063,29.2,3.966942149,8195.702479,-672.5950413,7975.53719,4021,20276,49.35416667,9.641203704,1039.338843,47.27083333,50.85980858,7828.760331,581.3
1/19/2000,2.0534375,52.7840625,11.54670139,15.20833333,5.774827225,39.7,0,8872.066116,681.3719008,8025.123967,4046,21122,49.34583333,9.636574074,4185.123967,46.7625,50.72800992,4004.628099,582.73
1/20/2000,1.634722222,50.6695,10.37194444,70.41666667,3.789345738,90,0,9227.107438,320.0743802,8058.842975,4063,22291,49.3125,9.618055556,4323.966942,46.7875,50.56647193,4583.801653,584.65
1/21/2000,1.261777778,46.46305625,8.03503125,48.125,1.794882704,74.1,3.966942149,7640.330579,603.785124,8499.173554,4285,21429,49.1625,9.534722222,3312.396694,47.05,50.2417799,3724.958678,583.24
1/22/2000,0.963888889,47.49825,8.610138889,59.79166667,6.641384824,82,0,12920.33058,75.62809917,12769.58678,6438,21580,48.99166667,9.439814815,4899.173554,46.7,50.2946419,7945.785124,583.49
1/23/2000,1.396541667,46.8068875,8.226048611,6.083333333,7.822534792,50.9,0,13777.19008,185.8181818,12892.56198,6500,22464,48.85833333,9.365740741,5276.033058,46.83333333,50.29393221,8314.710744,584.93
1/24/2000,0.882986111,48.7201375,9.288965278,23.83333333,8.769268135,57,0,14481.32231,545.5702479,15907.43802,8020,21038,48.80833333,9.337962963,5355.371901,46.81666667,50.26036845,8580.495868,582.59
1/25/2000,0.937444444,48.815275,9.341819444,30.70833333,8.611652692,71.4,0,20850.24793,-1553.14876,23141.15702,11667,18747,49.39583333,9.664351852,5375.206612,46.92916667,50.16166158,17028.09917,578.61
1/26/2000,1.270416667,46.702325,8.167958333,132.9583333,4.236721161,117.1,0,27167.60331,-1955.214876,27229.09091,13728,18686,49.4,9.666666667,6128.92562,46.82083333,50.05073986,22994.38017,578.5
1/27/2000,4.82125,52.004375,11.11354167,130.25,-0.921058283,126,1.983471074,30684.29752,-327.9338843,27641.65289,13936,21726,49.35416667,9.641203704,5236.363636,46.92083333,50.42446526,25775.20661,583.73
1/28/2000,3.183333333,48.3665,9.0925,128.4166667,-3.548377566,127.7,1.983471074,29908.76033,-182.9173554,32479.33884,16375,19153,49.92916667,9.960648148,5890.909091,46.80416667,50.57242406,24200.33058,579.34
1/29/2000,1.146666667,43.937375,6.631875,127.1666667,-0.083056858,126.9,3.966942149,39419.50413,-1297.057851,38439.66942,19380,20129,50.075,10.04166667,4760.330579,46.67916667,50.5,35956.36364,581.05
1/30/2000,3.278229167,45.2931875,7.385104167,42.5,5.267757346,64.5,0,37771.23967,-1184.727273,39042.64463,19684,18857,49.73333333,9.851851852,5851.239669,46.7,49.98333333,33104.13223,578.81
1/31/2000,1.6315625,43.217,6.231666667,35.375,5.439690605,43.2,0,34758.34711,-928.5619835,34074.04959,17179,19541,49.375,9.652777778,4859.504132,46.73333333,49.73333333,30827.10744,580.03
