Date,Wind_msec,AirTemp_degF,SolRad_Wm2,Storage_AF,Tdew_degC,KES_AddlInflow_AF,KES_Outflow_af,KES_Storage_AF,OutflowTemp_degF,SPP_Inflow_AF,SPP_InflowTemp_degF,SHD_OutflowTemp_degF,SHA_Outflow_AF
1/1/2000,2.08,40.514,88.97,20740,-1.88,-512.958,9917.355372,20740,51.9875,910.4132231,47.80416667,52.7375,9519.900207
1/2/2000,1.27,38.948,57.57,21158,-2.38,-94.95805824,9982.809917,21158,51.775,468.0991736,47.75,52.60833333,9683.106501
1/3/2000,1,44.24,103.19,21104,0.27,-222.3957572,9917.355372,21104,51.67083333,476.0330579,47.63333333,52.45,9414.831777
1/4/2000,1.91,42.53,35.19,21008,3.41,-69.50946295,9917.355372,21008,51.65,13.88429752,47.83333333,52.29166667,9764.35942
1/5/2000,3.45,38.822,122.03,21050,-1.36,181.1116544,9538.512397,21050,51.725,0,47.73333333,52.18333333,9706.922012
1/6/2000,1.07,40.136,89.1,21235,-3.32,16.59038469,9141.818182,21235,51.525,0,47.85833333,51.95,9168.971651
1/7/2000,1.46,45.176,118.82,21134,-1.17,-128.1534692,8925.619835,21134,51.5125,0,47.9375,51.84166667,8966.539809
1/8/2000,0.93,46.004,98.32,21146,1.41,-28.91997429,8925.619835,21146,51.47083333,0,47.85,51.72083333,8990.35532
1/9/2000,1.83,44.222,51.72,20907,1.29,-303.7354853,8925.619835,20907,51.44166667,0,47.67916667,51.60833333,8763.407511
1/10/2000,6.7,44.636,41.36,21062,5.38,317.2123237,8925.619835,21062,51.3875,0,47.375,51.35416667,8979.848477
1/11/2000,6.54,45.086,64.69,21062,4.48,-54.22864229,8925.619835,21062,51.35,541.4876033,47.4375,51.12083333,8547.667002
1/12/2000,3.14,42.26,89.72,20094,2.73,-1131.534771,8528.92562,20094,50.94583333,420.4958678,47.325,51.1625,7090.718107
1/13/2000,6.76,44.96,52.63,20411,5.87,1334.711645,8171.900826,20411,50.53333333,236.0330579,47.2875,51.0375,8348.737441
1/14/2000,5.86,48.686,61.25,20692,8.39,-131.8696724,7933.884298,20692,50.45833333,3828.099174,47.1,50.84166667,5381.60498
