,Estimate,SE,tStat,pValue,LowCI,HiCI,Month,Reach
intcpt,4.264148891,0.676262499,6.305464071,5.47E-10,2.936097824,5.592199957,Jan,CCR_KWK
x1,0.911776216,0.013761319,66.25645444,5.70E-283,0.8847516,0.938800832,Jan,CCR_KWK
intcpt,6.679940716,0.801916815,8.329967135,6.19E-16,5.10482651,8.255054922,Feb,CCR_KWK
x1,0.851767998,0.0165358,51.51054123,3.27E-215,0.819288602,0.884247393,Feb,CCR_KWK
intcpt,10.21813902,0.528191615,19.3455154,1.50E-65,9.180871042,11.25540701,Mar,CCR_KWK
x1,0.776646581,0.010678232,72.73175631,3.74E-305,0.755676562,0.7976166,Mar,CCR_KWK
intcpt,8.212782721,0.632886781,12.97670131,4.19E-34,6.969831754,9.455733689,Apr,CCR_KWK
x1,0.818326721,0.01233089,66.36396101,5.32E-278,0.794109606,0.842543836,Apr,CCR_KWK
intcpt,3.535188523,0.52858698,6.687997733,5.07E-11,2.497144119,4.573232926,May,CCR_KWK
x1,0.911595933,0.010155718,89.76184041,0,0.891652033,0.931539834,May,CCR_KWK
intcpt,4.313087161,0.374360527,11.52121242,7.21E-28,3.577860955,5.048313366,Jun,CCR_KWK
x1,0.897389976,0.00714391,125.6160749,0,0.883359677,0.911420275,Jun,CCR_KWK
intcpt,2.969675284,0.379556858,7.82405908,2.23E-14,2.224292976,3.715057591,Jul,CCR_KWK
x1,0.924226006,0.0071431,129.3872421,0,0.910198225,0.938253786,Jul,CCR_KWK
intcpt,4.122347727,0.411155045,10.02626084,4.45E-22,3.314976557,4.929718897,Aug,CCR_KWK
x1,0.901277638,0.007697917,117.080716,0,0.8861615,0.916393776,Aug,CCR_KWK
intcpt,-0.675185413,0.41366332,-1.632210011,0.103136541,-1.487516201,0.137145376,Sep,CCR_KWK
x1,0.992257489,0.00766535,129.4471221,0,0.977204668,1.00731031,Sep,CCR_KWK
intcpt,-2.672990633,0.408948653,-6.536250007,1.28E-10,-3.476012827,-1.86996844,Oct,CCR_KWK
x1,1.038958657,0.007480409,138.8906268,0,1.024269932,1.053647382,Oct,CCR_KWK
intcpt,-0.025617517,0.48158576,-0.053194092,0.957594179,-0.971330904,0.92009587,Nov,CCR_KWK
x1,1.002321804,0.008889076,112.7588276,0,0.984865893,1.019777715,Nov,CCR_KWK
intcpt,4.935278389,0.654064437,7.545553786,1.53E-13,3.650940476,6.219616301,Dec,CCR_KWK
x1,0.909821336,0.012687513,71.70998073,1.18420805565776e-310,0.884907805,0.934734867,Dec,CCR_KWK
intcpt,-3.41050312,1.671484088,-2.04040418,0.041793299,-6.69387018,-0.12713606,Jan,CCR_BSF
x1,1.056755541,0.034080184,31.00791801,2.94E-122,0.989810391,1.123700691,Jan,CCR_BSF
intcpt,-2.419994626,1.793551996,-1.349274865,0.177835876,-5.943492989,1.103503736,Feb,CCR_BSF
x1,1.055465377,0.037103965,28.44616107,4.78E-108,0.982573282,1.128357471,Feb,CCR_BSF
intcpt,-12.66030449,0.977403511,-12.95299674,5.65E-34,-14.57989148,-10.7407175,Mar,CCR_BSF
x1,1.282181322,0.019798898,64.76023537,2.27E-271,1.243296964,1.32106568,Mar,CCR_BSF
intcpt,-7.434855428,0.963872398,-7.713526652,5.20E-14,-9.327874292,-5.541836565,Apr,CCR_BSF
x1,1.178197417,0.018773159,62.75967936,4.71E-264,1.14132745,1.215067384,Apr,CCR_BSF
intcpt,6.227036444,0.840508901,7.408650204,4.21E-13,4.576436648,7.87763624,May,CCR_BSF
x1,0.91762358,0.01614866,56.82351285,1.45E-247,0.88591068,0.94933648,May,CCR_BSF
intcpt,9.368832413,0.620207952,15.1059534,7.23E-44,8.150765257,10.58689957,Jun,CCR_BSF
x1,0.858358987,0.011834074,72.53283984,2.49E-297,0.835117271,0.881600702,Jun,CCR_BSF
intcpt,5.579435375,0.478181971,11.66801701,1.46E-28,4.64037085,6.518499901,Jul,CCR_BSF
x1,0.926973422,0.008999183,103.0063976,0,0.909300624,0.94464622,Jul,CCR_BSF
intcpt,2.301517833,0.46986845,4.898217429,1.23E-06,1.378847702,3.224187965,Aug,CCR_BSF
x1,0.986935272,0.008796719,112.1935619,0,0.969661352,1.004209192,Aug,CCR_BSF
intcpt,6.110796845,0.368810788,16.56892111,2.01E-51,5.386545157,6.835048532,Sep,CCR_BSF
x1,0.912292846,0.006834214,133.489062,0,0.898872167,0.925713525,Sep,CCR_BSF
intcpt,5.841929394,0.410324838,14.23732823,3.22E-40,5.036202565,6.647656223,Oct,CCR_BSF
x1,0.90647644,0.007505322,120.7778293,0,0.891738753,0.921214126,Oct,CCR_BSF
intcpt,-0.897951696,0.76109303,-1.179818577,0.2385256,-2.392589071,0.596685679,Nov,CCR_BSF
x1,1.011245811,0.014045527,71.99771166,5.20E-303,0.983663151,1.03882847,Nov,CCR_BSF
intcpt,-9.205176252,1.310296532,-7.025261858,5.78E-12,-11.77846674,-6.631885764,Dec,CCR_BSF
x1,1.157915425,0.025412154,45.56541907,1.36E-197,1.108008514,1.207822336,Dec,CCR_BSF
intcpt,2.500711952,0.859839553,2.908347195,0.003782128,0.811692664,4.18973124,Jan,BSF_JLF
x1,0.939188962,0.017754609,52.89831905,2.14E-216,0.904312831,0.974065092,Jan,BSF_JLF
intcpt,-0.960542698,0.6402797,-1.500192334,0.13417148,-2.218395539,0.297310144,Feb,BSF_JLF
x1,1.019057355,0.013171991,77.36547831,1.87E-287,0.993180499,1.044934211,Feb,BSF_JLF
intcpt,-5.138707125,0.625099279,-8.220625584,1.28E-15,-6.36638068,-3.911033571,Mar,BSF_JLF
x1,1.1124281,0.012341782,90.13512635,0,1.088189263,1.136666937,Mar,BSF_JLF
intcpt,-8.022405228,0.72185754,-11.11355743,3.54E-26,-9.440138227,-6.60467223,Apr,BSF_JLF
x1,1.171811837,0.013601285,86.15449406,0,1.145098823,1.198524851,Apr,BSF_JLF
intcpt,-1.690874553,0.713919063,-2.368440121,0.018171434,-3.092889377,-0.288859729,May,BSF_JLF
x1,1.059633323,0.013223168,80.13460136,0,1.033665284,1.085601362,May,BSF_JLF
intcpt,-0.924003928,0.638168333,-1.447899998,0.148176186,-2.177362006,0.329354149,Jun,BSF_JLF
x1,1.046503979,0.011740295,89.13778962,0,1.023446122,1.069561836,Jun,BSF_JLF
intcpt,-0.113762752,0.59462133,-0.191319663,0.848338611,-1.281508539,1.053983034,Jul,BSF_JLF
x1,1.02695566,0.010844256,94.70042563,0,1.005659191,1.048252128,Jul,BSF_JLF
intcpt,1.440125532,0.441723776,3.260240016,0.001172967,0.572701661,2.307549402,Aug,BSF_JLF
x1,0.995572563,0.008029728,123.9858385,0,0.979804388,1.011340738,Aug,BSF_JLF
intcpt,1.404062553,0.338877332,4.143276692,3.90E-05,0.738573964,2.069551141,Sep,BSF_JLF
x1,0.993358987,0.006123101,162.231359,0,0.981334418,1.005383556,Sep,BSF_JLF
intcpt,2.674765157,0.371104366,7.207582024,1.59E-12,1.946052887,3.403477428,Oct,BSF_JLF
x1,0.960079937,0.006698945,143.3180733,0,0.946925676,0.973234198,Oct,BSF_JLF
intcpt,2.745621804,0.535057789,5.13144909,3.85E-07,1.694873292,3.796370316,Nov,BSF_JLF
x1,0.94736453,0.00992611,95.44167137,0,0.927871597,0.966857462,Nov,BSF_JLF
intcpt,4.248470818,0.776495303,5.471341294,6.55E-08,2.723512209,5.773429428,Dec,BSF_JLF
x1,0.903960245,0.015372173,58.80497543,3.79E-252,0.873770845,0.934149645,Dec,BSF_JLF
intcpt,-0.126629721,0.252996346,-0.500519958,0.616865884,-0.62334985,0.370090408,Jan,JLF_BND
x1,1.001988139,0.005239571,191.2347694,0,0.991701033,1.012275246,Jan,JLF_BND
intcpt,-0.92976594,0.233265384,-3.9858719,7.51E-05,-1.387832153,-0.471699726,Feb,JLF_BND
x1,1.021432143,0.00478135,213.6283843,0,1.012042945,1.030821342,Feb,JLF_BND
intcpt,-0.498518543,0.352550467,-1.414034556,0.157819034,-1.190762782,0.193725695,Mar,JLF_BND
x1,1.01196932,0.006857991,147.5606114,0,0.998503434,1.025435207,Mar,JLF_BND
intcpt,-2.114487382,0.266729558,-7.927458055,9.35E-15,-2.638212387,-1.590762378,Apr,JLF_BND
x1,1.043679898,0.004931536,211.6338479,0,1.033996799,1.053362996,Apr,JLF_BND
intcpt,-3.020660581,0.375479468,-8.044808935,3.70E-15,-3.757861466,-2.283459696,May,JLF_BND
x1,1.061155672,0.006778448,156.5484698,0,1.047847147,1.074464197,May,JLF_BND
intcpt,-2.937889502,0.372517297,-7.886585466,1.27E-14,-3.669339256,-2.206439747,Jun,JLF_BND
x1,1.060473886,0.006667971,159.0399737,0,1.04738111,1.073566662,Jun,JLF_BND
intcpt,-1.317091745,0.432282456,-3.046831359,0.002396488,-2.16576463,-0.468418859,Jul,JLF_BND
x1,1.032604033,0.007709295,133.9427271,0,1.017468859,1.047739206,Jul,JLF_BND
intcpt,0.290199151,0.634722314,0.457206474,0.647659423,-0.955911141,1.536309442,Aug,JLF_BND
x1,1.004281593,0.011306939,88.81993464,0,0.982083392,1.026479793,Aug,JLF_BND
intcpt,0.840674566,0.608283014,1.382045111,0.167404439,-0.35363013,2.034979262,Sep,JLF_BND
x1,0.992765304,0.010790321,92.00517046,0,0.971579556,1.013951052,Sep,JLF_BND
intcpt,-0.68793459,0.308338432,-2.231102316,0.026000596,-1.29334756,-0.082521619,Oct,JLF_BND
x1,1.016053884,0.005517221,184.1604482,0,1.005220991,1.026886776,Oct,JLF_BND
intcpt,-1.542886813,0.276851352,-5.572979159,3.60E-08,-2.086467348,-0.999306277,Nov,JLF_BND
x1,1.026537067,0.005140555,199.6938264,0,1.016443905,1.036630229,Nov,JLF_BND
intcpt,-0.477720373,0.235980954,-2.024402246,0.043303731,-0.941026568,-0.014414179,Dec,JLF_BND
x1,1.00634817,0.004720417,213.1905218,0,0.997080479,1.015615861,Dec,JLF_BND
intcpt,-1.535164972,0.40649049,-3.77663195,0.000172773,-2.333281886,-0.737048057,Jan,BND_RDB
x1,1.032131867,0.008432199,122.4036427,0,1.015575808,1.048687927,Jan,BND_RDB
intcpt,-2.568736865,0.406874438,-6.31334049,4.88E-10,-3.367595359,-1.769878372,Feb,BND_RDB
x1,1.060243652,0.008345837,127.0386286,0,1.043857411,1.076629893,Feb,BND_RDB
intcpt,-2.737475374,0.354914312,-7.713059974,4.22E-14,-3.434296042,-2.040654707,Mar,BND_RDB
x1,1.066373005,0.006881835,154.95474,0,1.05286156,1.07988445,Mar,BND_RDB
intcpt,-3.093375083,0.451070406,-6.857854207,1.53E-11,-3.978975059,-2.207775107,Apr,BND_RDB
x1,1.074082458,0.008302243,129.3725647,0,1.057782417,1.090382499,Apr,BND_RDB
intcpt,-5.490488408,0.697188089,-7.875189625,1.31E-14,-6.859328921,-4.121647896,May,BND_RDB
x1,1.121847411,0.012499316,89.75270624,0,1.097306588,1.146388234,May,BND_RDB
intcpt,-5.664988927,0.583899469,-9.701993625,7.26E-21,-6.811562372,-4.518415483,Jun,BND_RDB
x1,1.130168779,0.010351229,109.182088,0,1.109842602,1.150494956,Jun,BND_RDB
intcpt,-4.412556176,0.537759349,-8.205447626,1.10E-15,-5.468365469,-3.356746883,Jul,BND_RDB
x1,1.109867403,0.0094815,117.0560956,0,1.091251909,1.128482897,Jul,BND_RDB
intcpt,-1.316030909,0.512407073,-2.568330881,0.010421446,-2.322038031,-0.310023787,Aug,BND_RDB
x1,1.053670396,0.009033668,116.6381574,0,1.035934626,1.071406167,Aug,BND_RDB
intcpt,5.840697896,0.670900963,8.705752743,2.11E-17,4.523560345,7.157835447,Sep,BND_RDB
x1,0.922789076,0.011777233,78.35363853,0,0.899667577,0.945910576,Sep,BND_RDB
intcpt,0.341823157,0.480558832,0.711303453,0.47713182,-0.601676928,1.285323242,Oct,BND_RDB
x1,1.005747467,0.008562682,117.4570622,0,0.988936016,1.022558918,Oct,BND_RDB
intcpt,-2.876593135,0.337845869,-8.514513268,1.07E-16,-3.539937819,-2.21324845,Nov,BND_RDB
x1,1.054638261,0.006282657,167.8650021,0,1.042302555,1.066973967,Nov,BND_RDB
intcpt,-2.859846814,0.329650964,-8.675378292,2.81E-17,-3.507057238,-2.212636389,Dec,BND_RDB
x1,1.053597331,0.006615222,159.2686255,0,1.040609531,1.066585131,Dec,BND_RDB
