Date,CCR_degF,JLF_degF,BSF_degF,BND_degF,RDB_degF
1/1/2000,51.30833333,49.7375,50.3875,49.50416667,48.9
1/2/2000,50.99166667,49.45416667,50.1,49.23333333,48.90833333
1/3/2000,51.09166667,49.37916667,50.10833333,49.0625,48.6375
1/4/2000,51.2125,49.97916667,50.5,49.80416667,49.35833333
1/5/2000,51.14166667,49.35,50.0125,49.13333333,49.05
1/6/2000,50.92916667,49.03333333,49.775,48.8,48.425
1/7/2000,51.19166667,49.53333333,50.2,49.2875,48.77083333
1/8/2000,51.19166667,49.94166667,50.42916667,49.77083333,49.425
1/9/2000,50.93333333,49.72916667,50.22083333,49.62916667,49.39166667
1/10/2000,51.22083333,50.6125,50.8375,50.6125,50.05833333
1/11/2000,51.26666667,50.77916667,50.80833333,50.825,50.79583333
1/12/2000,50.475,48.99166667,49.4875,48.99166667,49.45833333
1/13/2000,50.45,49.625,50.075,49.44583333,49.13333333
1/14/2000,50.55416667,50.15833333,50.17916667,50.2375,50.325
1/15/2000,50.17916667,49.62916667,49.53333333,49.7375,50.10833333
1/16/2000,49.43333333,49.51666667,49.65833333,49.50416667,49.54583333
1/17/2000,48.5375,47.625,47.93333333,47.80416667,48.41666667
1/18/2000,49.425,48.65833333,49.24166667,48.47916667,48.17083333
1/19/2000,49.9,50.10416667,50.5125,50.1625,49.9875
1/20/2000,49.96666667,50.76666667,51.03333333,50.8125,50.94583333
1/21/2000,49.22083333,49.7,49.86666667,49.94166667,50.275
1/22/2000,49.325,49.47916667,49.75416667,49.47916667,49.7625
1/23/2000,49.025,49.26666667,49.38333333,49.37916667,49.55416667
1/24/2000,49.02916667,49.5875,49.82916667,49.56666667,49.5625
1/25/2000,49.4875,50.05,50.17083333,50.025,49.99583333
1/26/2000,49.50833333,49.975,49.95416667,50.05833333,50.20833333
1/27/2000,49.35416667,49.2625,49.3875,49.28333333,49.4375
1/28/2000,49.775,49.04583333,49.3625,48.95416667,48.84583333
1/29/2000,50.02916667,49.31666667,49.6375,49.25833333,49.16666667
1/30/2000,49.8125,49.29166667,49.35416667,49.13333333,49.47916667
1/31/2000,49.34583333,48.575,48.77083333,48.82083333,48.46666667
2/1/2000,49.32916667,48.85,49.0875,48.7625,48.81666667
2/2/2000,49.79166667,49.95416667,49.99166667,49.83333333,49.65416667
2/3/2000,49.31666667,49.70416667,49.59166667,49.73333333,49.9875
2/4/2000,48.92083333,49.3,49.24583333,49.325,49.53333333
2/5/2000,49.02916667,49.34583333,49.47916667,49.375,49.5125
2/6/2000,48.6625,49.5625,49.54583333,49.60833333,49.84166667
2/7/2000,48.56666667,49.1625,49.0875,49.20833333,49.5375
2/8/2000,48.74166667,49.16666667,49.13333333,49.17083333,49.38333333
2/9/2000,49.30833333,49.7125,49.6,49.7625,49.8625
2/10/2000,49.8625,50.6875,50.74583333,50.70833333,50.77916667
2/11/2000,49.57916667,50.24583333,50.07083333,50.34166667,50.65833333
2/12/2000,49.15833333,49.19166667,49.27083333,49.275,49.42916667
2/13/2000,49.1,49.07083333,49.01666667,49.15,49.0875
2/14/2000,49.6125,50.76666667,50.7625,50.77916667,50.85833333
2/15/2000,49.22916667,49.45833333,49.63333333,49.575,49.99583333
2/16/2000,49.16666667,49.46666667,49.5125,49.52083333,49.67916667
2/17/2000,49.2875,49.63333333,49.625,49.65416667,49.80833333
2/18/2000,49.27083333,49.47916667,49.475,49.51666667,49.7375
2/19/2000,49.37083333,49.5,49.54583333,49.52083333,49.72916667
2/20/2000,49.35416667,49.625,49.5875,49.66666667,49.8875
2/21/2000,49.48333333,50.15416667,50.02916667,50.22083333,50.46666667
2/22/2000,49.17083333,49.63333333,49.46666667,49.7625,50.00416667
2/23/2000,48.75,48.65833333,48.6,48.66666667,48.71666667
2/24/2000,48.87083333,48.64583333,48.82083333,48.7,48.8375
2/25/2000,48.80416667,48.70833333,48.89583333,48.75416667,48.9
2/26/2000,48.9375,49.00833333,49.075,49.02083333,49.1375
2/27/2000,48.99583333,49.53333333,49.5,49.63333333,49.84583333
2/28/2000,48.85416667,49.29166667,49.275,49.37083333,49.5875
2/29/2000,48.87916667,49.30416667,49.23333333,49.35,49.5
3/1/2000,48.77916667,49.025,48.98333333,49.07916667,49.36666667
3/2/2000,48.79583333,49.1875,49.11666667,49.225,49.3375
3/3/2000,49.175,49.5625,49.52083333,49.45833333,49.7625
3/4/2000,48.91666667,49.46666667,49.30833333,49.55833333,49.8625
3/5/2000,48.8875,49.31666667,49.3125,49.35416667,49.4
3/6/2000,48.9125,49.32916667,49.2375,49.34583333,49.37916667
3/7/2000,48.7875,49.125,49.03333333,49.21666667,49.32083333
3/8/2000,48.59583333,48.8,48.77083333,48.9,48.95
3/9/2000,48.58333333,48.60833333,48.6125,48.68333333,48.7375
3/10/2000,48.69166667,49.22083333,49.07916667,49.32916667,49.3625
3/11/2000,48.9625,49.8875,49.65416667,49.94166667,50.04166667
3/12/2000,49.025,50.07083333,49.73333333,50.20833333,50.7
