Date,KWK_WatTemp_dqc1_degF,KWK_Flow_dv20220611_cfs,KWK_WatTemp_degC,KWK_Flow_cms,AirT_degC_d_KRDD,RelHum_pct_d_KRDD,DewPtT_degC_d_KRDD,WindSp_m_per_sec_d_KRDD,SolRad_W_per_m2_d_RRAC,KWK_Flow_dv20221011_cfs
1/1/2000,51.9875,4917,11.10416667,143.3540359,4.026896552,84.2862069,,1.152758621,,5062.5
1/2/2000,51.775,5244,10.98611111,142.3405287,1.620714286,93.0952381,,0.844761905,,5026.708333
1/3/2000,51.67083333,4974,10.92824074,142.4880123,3.836190476,80.17619048,,1.077142857,,5031.916667
1/4/2000,51.65,4952,10.91666667,142.1399511,5.592857143,83.17142857,,0.734761905,,5019.625
1/5/2000,51.725,4831,10.95833333,138.028109,5.010909091,80.95454545,,2.479090909,,4874.416667
1/6/2000,51.525,4704,10.84722222,131.2367853,7.285714286,49.61428571,,2.71952381,,4634.583333
1/7/2000,51.5125,4450,10.84027778,130.1985009,14.9725,43.625,,2.575,,4597.916667
1/8/2000,51.47083333,4507,10.81712963,129.1484178,5.959130435,80.86818182,,0.826956522,,4560.833333
1/9/2000,51.44166667,4380,10.80092593,128.2753151,3.826153846,88.85384615,,0.500512821,,4530
1/10/2000,51.3875,4578,10.77083333,127.5555952,7.469767442,96.39444444,,2.249069767,,4504.583333
1/11/2000,51.35,4500,10.75,133.2543606,10.85225806,87.26451613,,10.65387097,,4705.833333
1/12/2000,50.94583333,3812,10.52546296,126.1409327,5.314230769,74.11538462,,2.473461538,,4454.625
1/13/2000,50.53333333,4280,10.2962963,119.717728,7.486060606,86.60909091,,2.867878788,,4227.791667
1/14/2000,50.45833333,4142,10.25462963,116.476629,12.696,74.068,,9.24,,4113.333333
1/15/2000,49.69166667,3326,9.828703704,119.5631653,9.663859649,96.2245614,,2.310701754,,4222.333333
1/16/2000,49,3326,9.444444444,121.1087931,10.4753125,85.278125,,6.9615625,,4276.916667
1/17/2000,48.72083333,3779,9.289351852,119.3177526,5.878695652,74.80434783,,1.408695652,,4213.666667
1/18/2000,49.35416667,4132,9.641203704,118.8729421,8.753636364,52.01818182,,1.074545455,,4197.958333
1/19/2000,49.34583333,4473,9.636574074,118.08361,11.10418605,64.79302326,,1.117826087,,4170.083333
1/20/2000,49.3125,4652,9.618055556,118.613371,10.96608696,88.02608696,,2.370652174,,4188.791667
1/21/2000,49.1625,3852,9.534722222,120.9200142,8.769459459,54.82432432,,1.258947368,,4270.25
1/22/2000,48.99166667,6514,9.439814815,176.7502168,7.854,94.784,,0.7712,,6241.875
1/23/2000,48.85833333,6946,9.365740741,181.4425543,8.09326087,95.1173913,,1.420217391,,6407.583333
1/24/2000,48.80833333,7301,9.337962963,228.7883218,9.393529412,96.69803922,,0.95745098,,8079.583333
1/25/2000,49.39583333,10512,9.664351852,342.8910551,8.973090909,96.46181818,,0.757090909,,12109.08333
1/26/2000,49.4,13697,9.666666667,399.3465881,6.206530612,95.1122449,,0.535102041,,14102.79167
1/27/2000,49.35416667,15470,9.641203704,383.3345913,9.648571429,58.65238095,,3.773333333,,13537.33333
1/28/2000,49.92916667,15079,9.960648148,442.7799113,10.70043478,35.95652174,,4.60826087,,15636.625
1/29/2000,50.075,19874,10.04166667,547.4790919,6.57173913,63.17826087,,1.319565217,,19334.04167
1/30/2000,49.73333333,19043,9.851851852,542.386779,6.8625,92.34090909,,3.214772727,,19154.20833
1/31/2000,49.375,17524,9.652777778,471.7598441,6.830645161,88.77741935,,2.107741935,,16660.04167
2/1/2000,49.30833333,18030,9.615740741,466.7395032,7.019722222,96.82222222,,1.670555556,,16482.75
2/2/2000,49.55833333,13677,9.75462963,420.8060384,11.93083333,81.90833333,,0.941666667,,14860.625
2/3/2000,49.1,12421,9.5,356.1527783,9.794615385,82.43846154,,1.859615385,,12577.41667
2/4/2000,48.81666667,13610,9.342592593,355.6867302,8.402692308,92.66538462,,1.760769231,,12560.95833
2/5/2000,48.95833333,12385,9.421296296,355.5994199,9.075405405,94.85945946,,3.767567568,,12557.875
2/6/2000,48.375,10526,9.097222222,311.4263191,10.71205882,86.16764706,,3.616470588,,10997.91667
2/7/2000,48.40416667,9855,9.113425926,307.053726,8.495555556,86.71481481,,0.914074074,,10843.5
2/8/2000,48.72083333,11154,9.289351852,304.6798304,6.906842105,92.45263158,,0.459736842,,10759.66667
2/9/2000,49.40833333,15226,9.671296296,422.3304286,10.97708333,83.12083333,,0.985833333,,14914.45833
2/10/2000,49.75833333,14296,9.865740741,438.4969883,10.80039216,95.97254902,,2.128431373,,15485.375
2/11/2000,49.65,16659,9.805555556,489.5475432,9.315277778,92.74444444,,6.2875,,17288.20833
2/12/2000,49.19166667,20463,9.550925926,587.3338736,8.05475,93.29,,6.37875,,20741.5
2/13/2000,49.14166667,19580,9.523148148,564.5057758,8.142745098,96.20196078,,6.001568627,,19935.33333
2/14/2000,49.26666667,21681,9.592592593,603.3883457,12.37828571,85.83142857,,11.50828571,,21308.45833
2/15/2000,49.22083333,36081,9.56712963,1070.727222,9.443,78.41666667,,1.783333333,,37812.375
2/16/2000,49.225,40494,9.569444444,1114.618334,9.1892,84.392,,1.6248,,39362.375
2/17/2000,49.275,39151,9.597222222,1135.274294,8.53375,90.696875,,1.334375,,40091.83333
2/18/2000,49.2875,40051,9.604166667,1135.190523,8.625,76.1,,2.38,,40088.875
2/19/2000,49.35833333,40921,9.643518519,1127.199273,9.397916667,62.63333333,,1.865,,39806.66667
