,FirstSDG_Obs,FirstSDG_Sim,FullSDG_Obs,FullSDG_Sim
2022,2022-07-18 00:00:00,2022-08-11 00:00:00,2022-07-25 00:00:00,2022-08-19 00:00:00
2000,2000-09-05 00:00:00,2000-08-15 00:00:00,2000-09-07 00:00:00,2000-08-23 00:00:00
2001,2001-08-23 00:00:00,2001-08-02 00:00:00,2001-08-24 00:00:00,2001-08-02 00:00:00
2002,2002-09-10 00:00:00,2002-08-24 00:00:00,2002-09-15 00:00:00,2002-09-01 00:00:00
2003,2003-09-05 00:00:00,2003-08-10 00:00:00,2003-09-05 00:00:00,2003-08-18 00:00:00
2004,2004-08-10 00:00:00,2004-08-12 00:00:00,2004-08-16 00:00:00,2004-08-16 00:00:00
2005,2005-08-17 00:00:00,2005-08-17 00:00:00,2005-08-30 00:00:00,2005-08-22 00:00:00
2006,2006-11-14 00:00:00,2006-09-01 00:00:00,2006-11-14 00:00:00,2006-09-09 00:00:00
2007,2007-09-01 00:00:00,2007-08-25 00:00:00,2007-09-06 00:00:00,2007-09-02 00:00:00
2008,2008-08-19 00:00:00,2008-08-13 00:00:00,2008-08-24 00:00:00,2008-08-20 00:00:00
2009,2009-08-28 00:00:00,2009-08-18 00:00:00,2009-09-01 00:00:00,2009-08-22 00:00:00
2010,2010-09-18 00:00:00,2010-09-18 00:00:00,2010-09-18 00:00:00,2010-09-26 00:00:00
2011,,2011-09-19 00:00:00,,2011-09-27 00:00:00
2012,2012-09-21 00:00:00,2012-09-06 00:00:00,2012-09-22 00:00:00,2012-09-14 00:00:00
2013,2013-09-11 00:00:00,2013-09-02 00:00:00,2013-09-12 00:00:00,2013-09-10 00:00:00
2014,2014-08-07 00:00:00,2014-08-01 00:00:00,2014-08-08 00:00:00,2014-08-06 00:00:00
2015,2015-09-13 00:00:00,2015-08-23 00:00:00,2015-09-25 00:00:00,2015-08-31 00:00:00
2016,2016-10-23 00:00:00,2016-09-20 00:00:00,2016-11-06 00:00:00,2016-09-28 00:00:00
2017,,2017-09-21 00:00:00,,2017-09-29 00:00:00
2018,2018-09-19 00:00:00,2018-09-02 00:00:00,2018-09-24 00:00:00,2018-09-10 00:00:00
2019,,2019-09-26 00:00:00,,2019-10-04 00:00:00
2020,2020-08-13 00:00:00,2020-08-20 00:00:00,2020-08-29 00:00:00,2020-08-26 00:00:00
2021,2021-08-06 00:00:00,2021-08-08 00:00:00,2021-08-13 00:00:00,2021-08-08 00:00:00
